r\c	0.0	100.0	200.0	300.0	400.0	500.0	600.0	700.0	800.0	900.0	1000.0	1100.0	1200.0	1300.0	1400.0	1500.0	1600.0	1700.0	1800.0	1900.0	2000.0	2100.0	2200.0	2300.0	2400.0	2500.0	2600.0	2700.0	2800.0	2900.0	3000.0
5.0E-6	8.093615531921387	0.8069883584976196	0.35071852803230286	0.17597728967666626	0.10565630346536636	0.069493867456913	0.04110657423734665	0.02932971715927124	0.023462742567062378	0.01919037103652954	0.015878591686487198	0.011609477922320366	0.011602782644331455	0.009984328411519527	0.007764947135001421	0.0069021182134747505	0.0061731799505651	0.005554119125008583	0.005002512130886316	0.004570995457470417	0.0038251488003879786	0.0035184919834136963	0.00324949249625206	0.002996050985530019	0.005510134622454643	0.002427209634333849	0.0022705821320414543	0.0022624845150858164	0.0019988389685750008	0.001992846606299281	NaN
0.999995	Infinity	Infinity	Infinity	3.21809472E8	2.9283374E7	1.6005174272E10	9.548709888E11	5.37822593024E11	3.80993529708544E14	1.58923882496E11	704421.9375	Infinity	Infinity	Infinity	3.50210048E10	Infinity	Infinity	Infinity	1.1719631872E10	Infinity	Infinity	Infinity	Infinity	813575.0625	Infinity	Infinity	Infinity	Infinity	1267.78857421875	Infinity	NaN
1.0E-5	8.093615531921387	0.9789431691169739	0.35146230459213257	0.17611151933670044	0.14441582560539246	0.07032664120197296	0.048393793404102325	0.029347743839025497	0.02346290461719036	0.01919037103652954	0.015878591686487198	0.011609477922320366	0.011602782644331455	0.009984328411519527	0.007764947135001421	0.0069021182134747505	0.0061731799505651	0.005554119125008583	0.005002512130886316	0.004570995457470417	0.0038251488003879786	0.0035184919834136963	0.00324949249625206	0.002996050985530019	0.005510134622454643	0.002427209634333849	0.0022705821320414543	0.0022624845150858164	0.0019988389685750008	0.001992846606299281	NaN
0.99999	Infinity	Infinity	Infinity	5.7745652E7	4671467.0	1.7974466E7	1.428821632E9	3.82267752448E11	3.80993529708544E14	1.9035172864E10	704421.9375	8.6530441216E10	Infinity	Infinity	3.50210048E10	Infinity	Infinity	Infinity	1.1719631872E10	Infinity	Infinity	Infinity	Infinity	813575.0625	Infinity	Infinity	Infinity	Infinity	1267.78857421875	Infinity	NaN
5.0E-5	8.093615531921387	1.0564906597137451	0.6156069040298462	0.33515655994415283	0.1751013696193695	0.09069009870290756	0.06698141247034073	0.0376555435359478	0.029066679999232292	0.01920911855995655	0.016005411744117737	0.013424476608633995	0.011606005020439625	0.009984328411519527	0.007764947135001421	0.0069021182134747505	0.0061731799505651	0.005554119125008583	0.005002512130886316	0.004570995457470417	0.0038251488003879786	0.0035184919834136963	0.00324949249625206	0.002996050985530019	0.005510134622454643	0.002427209634333849	0.0022705821320414543	0.0022624845150858164	0.0019988389685750008	0.001992846606299281	NaN
0.99995	Infinity	Infinity	6.4689564E7	2001926.125	235505.21875	335623.78125	339677.03125	260475.984375	1356202.625	2.287904E7	337642.25	347982.6875	5.105782784E10	3151861.25	2.9370454016E10	2.6972864512E10	2.1109622784E10	1.4467741696E10	1.1719631872E10	Infinity	Infinity	Infinity	Infinity	813575.0625	Infinity	Infinity	Infinity	Infinity	1267.78857421875	Infinity	NaN
1.0E-4	8.093860626220703	1.3801428079605103	0.6360846757888794	0.3494986891746521	0.17572423815727234	0.10514190793037415	0.06998544931411743	0.04774029180407524	0.02928025834262371	0.023414824157953262	0.019006280228495598	0.013533401302993298	0.013436841778457165	0.010050559416413307	0.0077666533179581165	0.006903889123350382	0.0061731799505651	0.005554119125008583	0.005002512130886316	0.004570995457470417	0.0038251488003879786	0.0035184919834136963	0.00324949249625206	0.002996050985530019	0.005510134622454643	0.002427209634333849	0.0022705821320414543	0.0022624845150858164	0.0019988389685750008	0.001992846606299281	NaN
0.9999	Infinity	Infinity	1.4310911E7	561261.375	97165.5390625	124762.359375	127023.796875	77817.7109375	98226.109375	142192.546875	72503.2421875	27021.263671875	2.9283374E7	256778.59375	8397988.0	84780.8984375	1.9516444672E10	1.4467741696E10	127692.7734375	766.7678833007812	128166.6640625	42359.97265625	807277.875	813575.0625	Infinity	Infinity	Infinity	Infinity	1267.78857421875	Infinity	NaN
5.0E-4	9.664896965026855	2.835374116897583	1.038062334060669	0.6318809390068054	0.3468962013721466	0.17394456267356873	0.09981133788824081	0.06759060174226761	0.037540894001722336	0.02919820323586464	0.023363212123513222	0.015979547053575516	0.015908101573586464	0.011572133749723434	0.01003147941082716	0.008764690719544888	0.007745728362351656	0.007675413973629475	0.006852064747363329	0.005529693327844143	0.004154018592089415	0.0035200368147343397	0.0035044080577790737	0.002996050985530019	0.00551331602036953	0.002590775489807129	0.0022705821320414543	0.0022624845150858164	0.0019988389685750008	0.001992846606299281	NaN
0.9995	Infinity	1.059626944E9	1391653.625	79776.8046875	20513.263671875	23329.404296875	18468.74609375	14711.7939453125	10547.9560546875	13658.0380859375	9046.4716796875	4638.119140625	9989.93359375	4855.5732421875	3164.285400390625	1759.529296875	1728.388427734375	1237.3885498046875	1667.11279296875	554.2756958007812	52959.5	316.7947692871094	4677.12060546875	4725.1474609375	20269.40234375	34379.5234375	1366.2760009765625	141.529541015625	1267.78857421875	63.84173583984375	NaN
