r\c	0.0	100.0	200.0	300.0	400.0	500.0	600.0	700.0	800.0	900.0	1000.0
5.0E-6	9.66497430782874	1.0564797676567446	0.3521180497115205	0.1761259412200953	0.17521843217093988	0.14788298233810035	0.16715931062118133	0.1665433985422553	0.7635528689899811	0.6937757980789401	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	1043948.0455587116	472416.93091957935	128174.81608730488	6364.6532042922045	3307.6368815076125	376.17971488623857	NaN
1.0E-5	9.66497430782874	1.0564797676567446	0.3521180497115205	0.1761259412200953	0.17521843217093988	0.14788298233810035	0.16715931062118133	0.1665433985422553	0.7635528689899811	0.6937757980789401	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	1043948.0455587116	472416.93091957935	128174.81608730488	6364.6532042922045	3307.6368815076125	376.17971488623857	NaN
5.0E-5	9.66497430782874	1.0564797676567446	0.3521180497115205	0.1761259412200953	0.17521843217093988	0.14788298233810035	0.16715931062118133	0.1665433985422553	0.7635528689899811	0.6937757980789401	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	1043948.0455587116	472416.93091957935	128174.81608730488	6364.6532042922045	3307.6368815076125	376.17971488623857	NaN
1.0E-4	9.66497430782874	1.0564797676567446	0.3521180497115205	0.1761259412200953	0.17521843217093988	0.14788298233810035	0.16715931062118133	0.1665433985422553	0.7635528689899811	0.6937757980789401	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	1043948.0455587116	472416.93091957935	128174.81608730488	6364.6532042922045	3307.6368815076125	376.17971488623857	NaN
5.0E-4	9.66497430782874	1.056755647320572	0.35225143199328096	0.431884276946119	0.17521843217093988	0.14788298233810035	0.16715931062118133	0.1665433985422553	0.7635528689899811	0.6937757980789401	NaN
0.9995	Infinity	Infinity	1.4615272637821961E7	4871757.545940654	347982.68185290386	472416.93091957935	128174.81608730488	6364.6532042922045	3307.6368815076125	376.17971488623857	NaN
0.001	9.66497430782874	1.381275232331793	0.6511672036850363	0.46359115475450113	0.21638276088360786	0.1741256948821177	0.16715931062118133	0.1665433985422553	0.7635528689899811	0.6937757980789401	NaN
0.999	Infinity	Infinity	4964945.58766736	1556386.9096230336	347982.68185290386	472416.93091957935	128174.81608730488	6364.6532042922045	3307.6368815076125	376.17971488623857	NaN
0.005	9.782043294668192	3.2240688585393564	1.0463173802894163	0.9564055223505404	0.34796423054545583	0.9693278790225924	0.1716332364562367	0.8480123191566947	0.8386287611382476	0.6937757980789401	NaN
0.995	Infinity	5478269.215186073	158384.76232139574	21813.30347770464	129602.53037970467	12131.479459268006	10563.265805651616	6364.6532042922045	3307.6368815076125	376.17971488623857	NaN
0.01	9.789509321721273	3.26316977390709	1.6054118460236297	1.4530883960889858	1.314402113673409	1.39567017760442	0.17220718309019922	0.9000386018839748	5.435227498385424	1.5256612045214453	NaN
0.99	Infinity	3114667.490435535	85245.79424690011	13146.635597767816	29146.35445219391	6345.677466513283	9137.580659368941	6364.6532042922045	1640.910555101862	234.4441014590271	NaN
0.025	405.9088837140167	128.9214829690905	7.386786697796605	3.1156736865556316	3.017322651508261	1.5052390184633901	0.9197267954926168	3.9100373430064246	13.886764459808687	5.0452912228467115	NaN
0.975	Infinity	1140916.8616659702	49228.378032369015	8768.717021738377	4336.582290552118	2118.831145743826	6016.397972535334	1793.82518080657	500.63677411830065	191.62079851615536	NaN
0.05	1282.468187532818	390.03154731153984	9.421281428190957	8.957631542239989	8.016246289250725	7.055652891344347	13.070297748506757	6.149986535371592	35.24824105611665	19.29516351826753	NaN
0.95	Infinity	445419.20447784354	35975.8811091825	6653.1500742920425	2749.1056895632123	1532.1809604316438	1638.9985100556112	614.3343980874678	362.97091609017934	167.294503041965	NaN
0.1	3220.1629037354796	1625.2997277478778	197.69183215479302	84.0396535804143	33.59498964646399	22.475745710980473	37.551966283686156	37.31118033985913	76.05961608741029	57.284335128497936	NaN
0.9	6.045021753880181E12	188177.05887119094	22058.075494194683	5540.009373693603	2256.5579313356343	1123.5892194010466	788.459766449433	445.3871229526666	218.55793290177937	137.90503619470152	NaN
0.5	385700.8548697915	31363.421583287964	7748.6186854500165	2743.0097350723604	1188.4889902441778	701.4445622026756	393.10580433720327	261.95716661345944	147.58474273818402	115.4972912486373	NaN
