r\c	0.0	25.0	50.0	75.0	100.0	125.0	150.0	175.0	200.0	225.0	250.0	275.0	300.0	325.0	350.0	375.0	400.0	425.0	450.0	475.0	500.0	525.0	550.0	575.0	600.0	625.0	650.0	675.0	700.0	725.0	750.0	775.0	800.0	825.0	850.0	875.0	900.0	925.0	950.0	975.0	1000.0
5.0E-6	7.996203748723864E13	420939.52137118974	141847.35781214703	443.1274973344775	297.40719792206886	145.03620161107585	74.63266103963394	47.83512803874408	24.944386214615218	15.049372407253156	14.91386846789686	9.946012214230405	9.492052835272354	7.438181672870051	4.280930081605602	4.95217058144147	3.207973064578803	2.3959526647049656	1.984765778957027	1.673648279426942	3.48700272364419	1.0657938739450852	5.4188883574245486	5.093200350302159	2.98849295536639	0.7943743966546398	0.7116978389830031	0.7208528206072726	0.6991207142059404	2.5127857830040554	1.990274682187346	3.171410221934312	1.9527286611422252	56.20066478345709	2.133848528456645	1.5376090709118613	13.825786819240204	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.012032931328758E7	Infinity	6.756490289998722E9	5225799.840966708	1.126081714999787E9	1957826.2822616848	Infinity	2.6811469404756837E7	1.2065161232140574E8	2.6811469404756837E7	2.087169793007676E7	3.997231489330392E7	2.6811469404756837E7	32814.02273205839	7030369.06915037	3374870.274724637	149908.71916195037	7030369.06915037	58344.22542135323	22049.819502757764	8590.767811296146	4386.646782562362	98107.46688313263	17217.51172220148	43255.060808876166	4906.458621134962	1533.356270986694	2571.709527568572	1115.2897744111317	853.7239421342658	1301.4105901564678	NaN
1.0E-5	7.996203748723864E13	420939.52137118974	141847.35781214703	443.1274973344775	297.40719792206886	145.03620161107585	74.63266103963394	47.83512803874408	24.944386214615218	15.049372407253156	14.91386846789686	9.946012214230405	9.492052835272354	7.438181672870051	4.280930081605602	4.95217058144147	3.207973064578803	2.3959526647049656	1.984765778957027	1.673648279426942	3.48700272364419	1.0657938739450852	5.4188883574245486	5.093200350302159	2.98849295536639	0.7943743966546398	0.7116978389830031	0.7208528206072726	0.6991207142059404	2.5127857830040554	1.990274682187346	3.171410221934312	1.9527286611422252	56.20066478345709	2.133848528456645	1.5376090709118613	13.825786819240204	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.012032931328758E7	Infinity	6.756490289998722E9	5225799.840966708	1.126081714999787E9	1957826.2822616848	Infinity	2.6811469404756837E7	1.2065161232140574E8	2.6811469404756837E7	2.087169793007676E7	3.997231489330392E7	2.6811469404756837E7	32814.02273205839	7030369.06915037	3374870.274724637	149908.71916195037	7030369.06915037	58344.22542135323	22049.819502757764	8590.767811296146	4386.646782562362	98107.46688313263	17217.51172220148	43255.060808876166	4906.458621134962	1533.356270986694	2571.709527568572	1115.2897744111317	853.7239421342658	1301.4105901564678	NaN
5.0E-5	7.996203748723864E13	420939.52137118974	141847.35781214703	443.1274973344775	297.40719792206886	145.03620161107585	74.63266103963394	47.83512803874408	24.944386214615218	15.049372407253156	14.91386846789686	9.946012214230405	9.492052835272354	7.438181672870051	4.280930081605602	4.95217058144147	3.207973064578803	2.3959526647049656	1.984765778957027	1.673648279426942	3.48700272364419	1.0657938739450852	5.4188883574245486	5.093200350302159	2.98849295536639	0.7943743966546398	0.7116978389830031	0.7208528206072726	0.6991207142059404	2.5127857830040554	1.990274682187346	3.171410221934312	1.9527286611422252	56.20066478345709	2.133848528456645	1.5376090709118613	13.825786819240204	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.012032931328758E7	Infinity	6.756490289998722E9	5225799.840966708	1.126081714999787E9	1957826.2822616848	Infinity	2.6811469404756837E7	1.2065161232140574E8	2.6811469404756837E7	2.087169793007676E7	3.997231489330392E7	2.6811469404756837E7	32814.02273205839	7030369.06915037	3374870.274724637	149908.71916195037	7030369.06915037	58344.22542135323	22049.819502757764	8590.767811296146	4386.646782562362	98107.46688313263	17217.51172220148	43255.060808876166	4906.458621134962	1533.356270986694	2571.709527568572	1115.2897744111317	853.7239421342658	1301.4105901564678	NaN
1.0E-4	7.996203748723864E13	420939.52137118974	141847.35781214703	443.1274973344775	297.40719792206886	145.03620161107585	74.63266103963394	47.83512803874408	24.944386214615218	15.049372407253156	14.91386846789686	9.946012214230405	9.492052835272354	7.438181672870051	4.280930081605602	4.95217058144147	3.207973064578803	2.3959526647049656	1.984765778957027	1.673648279426942	3.48700272364419	1.0657938739450852	5.4188883574245486	5.093200350302159	2.98849295536639	0.7943743966546398	0.7116978389830031	0.7208528206072726	0.6991207142059404	2.5127857830040554	1.990274682187346	3.171410221934312	1.9527286611422252	56.20066478345709	2.133848528456645	1.5376090709118613	13.825786819240204	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.012032931328758E7	Infinity	6.756490289998722E9	5225799.840966708	1.126081714999787E9	1957826.2822616848	Infinity	2.6811469404756837E7	1.2065161232140574E8	2.6811469404756837E7	2.087169793007676E7	3.997231489330392E7	2.6811469404756837E7	32814.02273205839	7030369.06915037	3374870.274724637	149908.71916195037	7030369.06915037	58344.22542135323	22049.819502757764	8590.767811296146	4386.646782562362	98107.46688313263	17217.51172220148	43255.060808876166	4906.458621134962	1533.356270986694	2571.709527568572	1115.2897744111317	853.7239421342658	1301.4105901564678	NaN
5.0E-4	7.996203748723864E13	420939.52137118974	141847.35781214703	443.1274973344775	297.40719792206886	145.03620161107585	74.63266103963394	47.83512803874408	24.944386214615218	15.049372407253156	14.91386846789686	9.946012214230405	9.492052835272354	7.438181672870051	4.280930081605602	4.95217058144147	3.207973064578803	2.3959526647049656	1.984765778957027	1.673648279426942	3.48700272364419	1.0657938739450852	5.4188883574245486	5.093200350302159	2.98849295536639	0.7943743966546398	0.7116978389830031	0.7208528206072726	0.6991207142059404	2.5127857830040554	1.990274682187346	3.171410221934312	1.9527286611422252	56.20066478345709	2.133848528456645	1.5376090709118613	13.825786819240204	17.123193635552923	1.4595872358285435	267.3160712476968	NaN
