r\c	0.0	50.0	100.0	150.0	200.0	250.0	300.0	350.0	400.0	450.0	500.0	550.0	600.0	650.0	700.0	750.0	800.0	850.0	900.0	950.0	1000.0
5.0E-6	420939.52137118974	443.1274973344775	145.03620161107585	47.83512803874408	15.049372407253156	9.946012214230405	7.438181672870051	4.280930081605602	2.3959526647049656	1.673648279426942	1.0657938739450852	5.093200350302159	0.7943743966546398	0.7116978389830031	0.6991207142059404	1.990274682187346	1.9527286611422252	1.5376090709118613	13.825786819240204	1.4595872358285435	NaN
0.999995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.126081714999787E9	Infinity	1.2065161232140574E8	2.6811469404756837E7	3.997231489330392E7	7030369.06915037	3374870.274724637	7030369.06915037	22049.819502757764	98107.46688313263	43255.060808876166	4906.458621134962	2571.709527568572	1301.4105901564678	NaN
1.0E-5	420939.52137118974	443.1274973344775	145.03620161107585	47.83512803874408	15.049372407253156	9.946012214230405	7.438181672870051	4.280930081605602	2.3959526647049656	1.673648279426942	1.0657938739450852	5.093200350302159	0.7943743966546398	0.7116978389830031	0.6991207142059404	1.990274682187346	1.9527286611422252	1.5376090709118613	13.825786819240204	1.4595872358285435	NaN
0.99999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.126081714999787E9	Infinity	1.2065161232140574E8	2.6811469404756837E7	3.997231489330392E7	7030369.06915037	3374870.274724637	7030369.06915037	22049.819502757764	98107.46688313263	43255.060808876166	4906.458621134962	2571.709527568572	1301.4105901564678	NaN
5.0E-5	420939.52137118974	443.1274973344775	145.03620161107585	47.83512803874408	15.049372407253156	9.946012214230405	7.438181672870051	4.280930081605602	2.3959526647049656	1.673648279426942	1.0657938739450852	5.093200350302159	0.7943743966546398	0.7116978389830031	0.6991207142059404	1.990274682187346	1.9527286611422252	1.5376090709118613	13.825786819240204	1.4595872358285435	NaN
0.99995	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.126081714999787E9	Infinity	1.2065161232140574E8	2.6811469404756837E7	3.997231489330392E7	7030369.06915037	3374870.274724637	7030369.06915037	22049.819502757764	98107.46688313263	43255.060808876166	4906.458621134962	2571.709527568572	1301.4105901564678	NaN
1.0E-4	420939.52137118974	443.1274973344775	145.03620161107585	47.83512803874408	15.049372407253156	9.946012214230405	7.438181672870051	4.280930081605602	2.3959526647049656	1.673648279426942	1.0657938739450852	5.093200350302159	0.7943743966546398	0.7116978389830031	0.6991207142059404	1.990274682187346	1.9527286611422252	1.5376090709118613	13.825786819240204	1.4595872358285435	NaN
0.9999	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	1.126081714999787E9	Infinity	1.2065161232140574E8	2.6811469404756837E7	3.997231489330392E7	7030369.06915037	3374870.274724637	7030369.06915037	22049.819502757764	98107.46688313263	43255.060808876166	4906.458621134962	2571.709527568572	1301.4105901564678	NaN
5.0E-4	420939.52137118974	443.1274973344775	145.03620161107585	49.1767220359977	15.049372407253156	9.946012214230405	7.438181672870051	4.280930081605602	2.3959526647049656	1.673648279426942	1.0657938739450852	5.093200350302159	0.7943743966546398	0.7116978389830031	0.6991207142059404	1.990274682187346	1.9527286611422252	1.5376090709118613	13.825786819240204	1.4595872358285435	NaN
0.9995	Infinity	Infinity	Infinity	Infinity	1.646507796256615E9	Infinity	2.0720351732602686E7	Infinity	1.2065161232140574E8	2.6811469404756837E7	3.997231489330392E7	7030369.06915037	3374870.274724637	7030369.06915037	22049.819502757764	98107.46688313263	43255.060808876166	4906.458621134962	2571.709527568572	1301.4105901564678	NaN
0.001	420939.52137118974	443.1274973344775	145.59210339814	49.34986456638573	16.156337449765036	9.946012214230405	7.483971066959006	4.95217058144147	2.3959526647049656	1.673648279426942	1.0657938739450852	5.093200350302159	0.7943743966546398	0.7116978389830031	0.6991207142059404	1.990274682187346	1.9527286611422252	1.5376090709118613	13.825786819240204	1.4595872358285435	NaN
